ID_REF	VALUE
7893841	5.099
7893842	5.268
7893843	4.586
7893844	3.019
7893845	2.699
7893846	2.512
7893847	5.524
7893848	3.890
7893849	6.720
7893850	10.254
7893851	4.370
7893853	6.715
7893854	2.883
7893855	9.429
7893856	10.869
7893857	6.323
7893858	2.605
7893859	3.457
7893860	2.595
7893861	6.623
7893862	6.229
7893863	2.463
7893864	3.131
7893865	1.914
7893866	9.912
7893867	5.978
7893868	4.645
7893869	4.391
7893870	5.539
7893871	5.444
7893872	4.400
7893873	3.550
7893874	4.839
7893875	7.367
7893876	6.202
7893877	4.897
7893878	5.702
7893879	5.118
7893880	10.471
7893881	5.040
7893882	3.838
7893883	10.829
7893884	4.697
7893885	2.250
7893886	9.416
7893887	3.340
7893888	7.272
7893889	7.018
7893890	3.453
7893891	2.437
7893892	8.518
7893893	8.731
7893894	3.269
7893895	2.277
7893896	7.149
7893897	2.810
7893898	2.530
7893899	4.064
7893900	6.299
7893901	8.207
7893902	5.512
7893904	11.721
7893905	8.427
7893906	4.478
7893907	4.860
7893908	8.569
7893909	3.585
7893910	5.180
7893911	3.152
7893912	5.685
7893913	7.356
7893914	8.144
7893915	3.437
7893916	4.892
7893917	2.836
7893918	4.799
7893919	9.720
7893920	4.387
7893921	7.160
7893922	7.180
7893923	11.497
7893924	5.401
7893925	5.909
7893926	10.050
7893927	2.845
7893928	9.380
7893929	5.242
7893930	3.458
7893931	2.408
7893932	5.447
7893933	7.575
7893934	3.519
7893935	2.755
7893936	5.585
7893937	8.944
7893938	6.258
7893939	7.545
7893940	2.983
7893941	6.971
7893942	2.866
7893943	3.896
7893944	1.876
7893945	4.892
7893946	7.031
7893947	5.485
7893948	9.467
7893949	8.720
7893950	3.190
7893951	4.392
7893952	8.374
7893953	4.480
7893954	6.122
7893955	3.009
7893956	10.837
7893957	3.131
7893958	5.719
7893959	5.307
7893960	7.531
7893961	5.128
7893962	5.299
7893963	2.128
7893964	4.149
7893965	4.404
7893966	7.930
7893967	4.708
7893968	7.525
7893969	2.826
7893970	2.794
7893971	2.811
7893972	9.540
7893973	8.430
7893974	3.193
7893975	2.365
7893976	4.365
7893977	2.298
7893978	4.725
7893979	7.531
7893980	3.385
7893981	8.031
7893982	2.236
7893983	5.124
7893984	2.578
7893985	4.124
7893986	6.805
7893987	2.985
7893988	2.080
7893989	4.354
7893990	3.675
7893991	9.846
7893992	5.033
7893993	10.747
7893994	2.846
7893995	3.081
7893996	2.186
7893997	5.258
7893998	6.192
7893999	2.836
7894000	10.604
7894001	7.363
7894002	4.508
7894003	2.462
7894004	2.708
7894005	8.509
7894006	3.208
7894007	9.887
7894008	5.952
7894009	4.201
7894010	5.161
7894011	8.397
7894012	12.224
7894013	3.558
7894014	2.433
7894015	5.106
7894016	3.249
7894017	4.952
7894018	5.410
7894019	9.925
7894020	6.526
7894021	3.728
7894022	3.415
7894023	2.841
7894024	2.683
7894025	3.083
7894026	7.809
7894027	3.546
7894028	3.433
7894029	8.907
7894030	4.330
7894031	7.330
7894032	3.518
7894033	11.607
7894034	3.456
7894035	4.530
7894036	10.984
7894037	8.617
