A	Coef.K97_mutYoung_wtYoung	Coef.K97_mutOld_wtOld	Coef.K97_wtOld_wtYoung	Coef.K97_mutOld_mutYoung	t.K97_mutYoung_wtYoung	t.K97_mutOld_wtOld	t.K97_wtOld_wtYoung	t.K97_mutOld_mutYoung	p.value.K97_mutYoung_wtYoung	p.value.K97_mutOld_wtOld	p.value.K97_wtOld_wtYoung	p.value.K97_mutOld_mutYoung	p.value.adj.K97_mutYoung_wtYoung	p.value.adj.K97_mutOld_wtOld	p.value.adj.K97_wtOld_wtYoung	p.value.adj.K97_mutOld_mutYoung	F	F.p.value	Res.K97_mutYoung_wtYoung	Res.K97_mutOld_wtOld	Res.K97_wtOld_wtYoung	Res.K97_mutOld_mutYoung
17.29884642	0.049490312	-0.174349925	-2.543065003	-2.766905241	0.16092227	-0.62407131	-8.72132542	-9.3481509	0.87425725227	0.54176182143	2.4868e-07	1.0064e-07	0.922827099623	0.695781583778	9.736326e-06	4.643594e-06	54.64045874	2.065e-08	0	0	-1	-1
16.88300424	-0.077917656	0.024985097	0.111352245	0.214254997	-0.31268483	0.11037443	0.47130169	0.89338237	0.75873566439	0.91354521436	0.64406605713	0.38547013024	0.861042981131	0.950322396907	0.776403206308	0.555310024464	0.35443828	0.78661239006	0	0	0	0
17.47341793	0.16949105	0.593272271	0.173234424	0.597015645	0.5522314	2.12786896	0.59530236	2.02113591	0.58875535579	0.04997032475	0.56033194595	0.06109567716	0.731415307381	0.122974589662	0.705784634307	0.144835990614	2.56282147	0.09279211044	0	0	0	0
16.87973008	0.053053481	0.296946336	-1.301708184	-1.057815328	0.17438513	1.07445946	-4.51271885	-3.61277484	0.86384614528	0.29924694247	0.00039233872	0.00248173569	0.922827099623	0.465255174088	0.002785173791	0.011964188467	11.77797452	0.00029431416	0	0	-1	-1
16.79497623	-0.136653475	1.522717506	-0.313372362	1.345998619	-0.3330366	4.08514173	-0.80549168	3.40840646	0.74362014172	0.000936546	0.43285944639	0.00378981747	0.852490881194	0.005550538689	0.600058374179	0.016159881764	6.4487071	0.00490140153	0	1	0	1
16.9017261	-0.277810165	-0.137483224	-0.768836927	-0.628509987	-1.18193642	-0.64389076	-3.44992219	-2.77839281	0.25525039234	0.52916762415	0.00347752163	0.01384512114	0.415344467132	0.686430291572	0.015178911965	0.045749095933	6.82019318	0.00388484965	0	0	-1	-1
18.13434126	0.416779354	0.181428894	1.110697331	0.875346871	1.73515285	0.83148516	4.87704041	3.78658062	0.10277754398	0.41846993151	0.00018948905	0.00173213553	0.213143799067	0.583869494066	0.001539747537	0.008916012375	13.26084314	0.00015670365	0	0	1	1
16.32281891	0.251235873	-0.94646531	-0.230052111	-1.427753293	0.86942369	-3.60554587	-0.83966321	-5.13379441	0.39803107822	0.00251916931	0.41400744772	0.00011447475	0.568867425956	0.01196605422	0.582043114743	0.001083372016	10.03931453	0.00066224096	0	-1	0	-1
16.62303756	-0.027356662	0.011366185	-0.293113072	-0.254390225	-0.08266809	0.03780995	-0.93419835	-0.79874973	0.93518579637	0.97032746002	0.3646917246	0.43664259494	0.961990484799	0.981382069606	0.533614618548	0.603360676639	0.50531901	0.68431901215	0	0	0	0
17.07636393	0.139658888	-0.358398155	-0.841054533	-1.339111576	0.63138089	-1.78363147	-4.01029292	-6.29035423	0.53709786754	0.09429927833	0.00109215435	1.313505e-05	0.691165781731	0.19907625425	0.006243643438	0.000190679543	18.58145752	2.312649e-05	0	0	-1	-1
17.93434758	-0.551987737	0.715291037	1.137593177	2.404871952	-2.46547933	3.51699074	5.35905236	11.1609041	0.02594184051	0.00302638871	7.405716e-05	9.25e-09	0.074981785094	0.013914926039	0.000790759064	7.03218e-07	51.09507511	3.292e-08	0	1	1	1
17.59656155	-0.069730275	0.030645744	0.843079874	0.943455893	-0.33959739	0.164297	4.33052726	4.7741939	0.73877009189	0.87164516607	0.00056737444	0.00023237372	0.848436407755	0.922827099623	0.003721054718	0.001797765539	13.98194199	0.00011738926	0	0	1	1
